Brand;Year;Model;Used or New;Transmission;Cylinder.Enginer;Cylinder.Engine2;Liters.Engine;Liters.Engine2;Engine2;Drive Type;Fuel Type;Kilometres;Location;Country;Body Type;Doors;Doors2;Seats;Seats2;Price
Jeep;2021;Grand;USED;Automatic;6;6 cyl;3;3 L;6 cyl, 3 L;AWD;Diesel;35000;Rockingham, WA;North America;SUV;4; 4 Doors;5; 5 Seats;63990
MG;2021;MG3;USED;Automatic;4;4 cyl;1.5;1.5 L;4 cyl, 1.5 L;Front;Premium;16536;Victoria Park, WA;Europe;Hatchback;5; 5 Doors;5; 5 Seats;18999
Mazda;2021;CX-9;USED;Automatic;4;4 cyl;2.5;2.5 L;4 cyl, 2.5 L;Front;Unleaded;33358;Palmyra, WA;Asia;SUV;4; 4 Doors;7; 7 Seats;47990
Toyota;2021;RAV4;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;Front;Unleaded;25934;Northbridge, WA;Asia;SUV;5; 5 Doors;5; 5 Seats;44888
Toyota;2021;Corolla;USED;Automatic;4;4 cyl;1.8;1.8 L;4 cyl, 1.8 L;Front;Hybrid;81567;Maddington, WA;Asia;Hatchback;5; 5 Doors;5; 5 Seats;32990
Mercedes-Benz;2021;GLA35;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;AWD;Premium;11469;Burswood, WA;Europe;SUV;4; 4 Doors;5; 5 Seats;82900
Nissan;2021;Qashqai;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;Front;Unleaded;34855;Morley, WA;Asia;SUV;4; 4 Doors;5; 5 Seats;34490
Toyota;2021;RAV4;USED;Automatic;4;4 cyl;2.5;2.5 L;4 cyl, 2.5 L;AWD;Hybrid;17408;Jandakot, WA;Asia;SUV;5; 5 Doors;5; 5 Seats;61995
Subaru;2021;Forester;USED;Automatic;4;4 cyl;2.5;2.5 L;4 cyl, 2.5 L;AWD;Unleaded;65847;Myaree, WA;Asia;SUV;4; 4 Doors;5; 5 Seats;34885
Toyota;2021;RAV4;USED;Automatic;4;4 cyl;2.5;2.5 L;4 cyl, 2.5 L;AWD;Hybrid;79572;Jandakot, WA;Asia;SUV;5; 5 Doors;5; 5 Seats;57995
Toyota;2021;Hilux;USED;Manual;4;4 cyl;2.4;2.4 L;4 cyl, 2.4 L;Front;Diesel;43256;Jandakot, WA;Asia;Ute / Tray;2; 2 Doors;2; 2 Seats;33495
Volkswagen;2021;Golf;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;Front;Premium;8654;Myaree, WA;Europe;Hatchback;5; 5 Doors;5; 5 Seats;49490
Toyota;2021;Camry;USED;Automatic;4;4 cyl;2.5;2.5 L;4 cyl, 2.5 L;Front;Unleaded;20091;Maddington, WA;Asia;Sedan;4; 4 Doors;5; 5 Seats;39990
Subaru;2021;Outback;USED;Automatic;4;4 cyl;2.5;2.5 L;4 cyl, 2.5 L;AWD;Unleaded;22245;Maddington, WA;Asia;SUV;4; 4 Doors;5; 5 Seats;41376
Isuzu;2021;D-MAX;USED;Automatic;4;4 cyl;3;3 L;4 cyl, 3 L;Rear;Diesel;29138;Rockingham, WA;Asia;Ute / Tray;4; 4 Doors;5; 5 Seats;48888
Toyota;2021;Hilux;USED;Automatic;4;4 cyl;2.8;2.8 L;4 cyl, 2.8 L;4WD;Diesel;26090;Myaree, WA;Asia;Ute / Tray;4; 4 Doors;5; 5 Seats;69990
Nissan;2021;X-Trail;USED;Automatic;4;4 cyl;2.5;2.5 L;4 cyl, 2.5 L;4WD;Unleaded;24685;Bunbury, WA;Asia;SUV;4; 4 Doors;5; 5 Seats;32990
Toyota;2021;Corolla;USED;Automatic;4;4 cyl;1.8;1.8 L;4 cyl, 1.8 L;Front;Hybrid;45907;Maddington, WA;Asia;Sedan;4; 4 Doors;5; 5 Seats;34800
Honda;2021;CR-V;USED;Automatic;4;4 cyl;1.5;1.5 L;4 cyl, 1.5 L;Front;Unleaded;38514;Bentley, WA;Asia;SUV;4; 4 Doors;5; 5 Seats;37989
Nissan;2021;Patrol;USED;Automatic;8;8 cyl;5.6;5.6 L;8 cyl, 5.6 L;4WD;Premium;40114;Midland, WA;Asia;SUV;4; 4 Doors;8; 8 Seats;94990
BMW;2021;X1;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;Front;Premium;23350;Osborne Park, WA;Europe;SUV;4; 4 Doors;5; 5 Seats;48990
