Brand;Year;Model;Used or New;Transmission;Cylinder.Enginer;Cylinder.Engine2;Liters.Engine;Liters.Engine2;Engine2;Drive Type;Fuel Type;Kilometres;Location;Country;Body Type;Doors;Doors2;Seats;Seats2;Price
Toyota;2021;Landcruiser;USED;Automatic;4;4 cyl;2.8;2.8 L;4 cyl, 2.8 L;4WD;Diesel;14500;Essendon Fields, VIC;Asia;SUV;4; 4 Doors;7; 7 Seats;91880
MG;2021;MG3;USED;Automatic;4;4 cyl;1.5;1.5 L;4 cyl, 1.5 L;Front;Premium;22698;Nundah, QLD;Europe;Hatchback;5; 5 Doors;5; 5 Seats;16990
Honda;2021;HR-V;USED;Automatic;4;4 cyl;1.8;1.8 L;4 cyl, 1.8 L;Front;Unleaded;12333;Ravenhall, VIC;Asia;SUV;4; 4 Doors;5; 5 Seats;42990
Kia;2021;Stonic;USED;Automatic;4;4 cyl;1.4;1.4 L;4 cyl, 1.4 L;Front;Unleaded;27620;Windsor, QLD;Asia;SUV;4; 4 Doors;5; 5 Seats;25995
Hyundai;2021;Tucson;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;AWD;Diesel;29648;Elsternwick, VIC;Asia;SUV;4; 4 Doors;5; 5 Seats;52950
Toyota;2021;Corolla;USED;Automatic;4;4 cyl;1.8;1.8 L;4 cyl, 1.8 L;Front;Hybrid;57198;Essendon Fields, VIC;Asia;Hatchback;5; 5 Doors;5; 5 Seats;33468
Renault;2021;Koleos;USED;Automatic;4;4 cyl;2.5;2.5 L;4 cyl, 2.5 L;Front;Unleaded;26119;Elsternwick, VIC;Europe;SUV;4; 4 Doors;5; 5 Seats;30950
Toyota;2021;Kluger;USED;Automatic;4;4 cyl;2.5;2.5 L;4 cyl, 2.5 L;AWD;Hybrid;14563;Mentone, VIC;Asia;SUV;5; 5 Doors;7; 7 Seats;81990
Mitsubishi;2021;ASX;USED;Automatic;4;4 cyl;2;2 L;4 cyl, 2 L;Front;Unleaded;21590;Hendra, QLD;Asia;SUV;4; 4 Doors;5; 5 Seats;29980
Subaru;2021;Forester;USED;Automatic;4;4 cyl;2.5;2.5 L;4 cyl, 2.5 L;AWD;Unleaded;13079;Oakleigh, VIC;Asia;SUV;4; 4 Doors;5; 5 Seats;38998
